Feature,Importance
Acquarone Alessandro_set_giocati,0.0
Michieletto Alessandro_attacco_totale,0.0
Michieletto Alessandro_attacco_murati,0.0
Michieletto Alessandro_attacco_perfetti,0.0
Michieletto Alessandro_attacco_perfetti_perc,0.0
Michieletto Alessandro_attacco_efficienza,0.0
Michieletto Alessandro_muro_perfetti,0.0
Michieletto Alessandro_muro_per_set,0.0
Resende Gualberto Flavio_set_giocati,0.0
Resende Gualberto Flavio_punti_totali,0.0
Resende Gualberto Flavio_punti_bp,0.0
Resende Gualberto Flavio_battuta_totale,0.0
Resende Gualberto Flavio_ace,0.0
Resende Gualberto Flavio_errori_battuta,0.0
Resende Gualberto Flavio_ace_per_set,0.0
Resende Gualberto Flavio_battuta_efficienza,0.0
Resende Gualberto Flavio_ricezione_totale,0.0
Resende Gualberto Flavio_errori_ricezione,0.0
Resende Gualberto Flavio_ricezione_negativa,0.0
Resende Gualberto Flavio_ricezione_perfetta,0.0
Resende Gualberto Flavio_ricezione_perfetta_perc,0.0
Resende Gualberto Flavio_ricezione_efficienza,0.0
Resende Gualberto Flavio_attacco_totale,0.0
Michieletto Alessandro_errori_attacco,0.0
Michieletto Alessandro_ricezione_efficienza,0.0
Resende Gualberto Flavio_attacco_murati,0.0
Michieletto Alessandro_ricezione_perfetta_perc,0.0
Lavia Daniele_ricezione_efficienza,0.0
Lavia Daniele_attacco_totale,0.0
Lavia Daniele_errori_attacco,0.0
Lavia Daniele_attacco_murati,0.0
Lavia Daniele_attacco_perfetti,0.0
Lavia Daniele_attacco_perfetti_perc,0.0
Lavia Daniele_attacco_efficienza,0.0
Lavia Daniele_muro_perfetti,0.0
Lavia Daniele_muro_per_set,0.0
Michieletto Alessandro_set_giocati,0.0
Michieletto Alessandro_punti_totali,0.0
Michieletto Alessandro_punti_bp,0.0
Michieletto Alessandro_battuta_totale,0.0
Michieletto Alessandro_ace,0.0
Michieletto Alessandro_errori_battuta,0.0
Michieletto Alessandro_ace_per_set,0.0
Michieletto Alessandro_battuta_efficienza,0.0
Michieletto Alessandro_ricezione_totale,0.0
Michieletto Alessandro_errori_ricezione,0.0
Michieletto Alessandro_ricezione_negativa,0.0
Michieletto Alessandro_ricezione_perfetta,0.0
Resende Gualberto Flavio_errori_attacco,0.0
Resende Gualberto Flavio_attacco_perfetti,0.0
Acquarone Alessandro_punti_totali,0.0
Rychlicki Kamil_muro_perfetti,0.0
Sbertoli Riccardo_set_giocati,0.0
Sbertoli Riccardo_punti_totali,0.0
Sbertoli Riccardo_punti_bp,0.0
Sbertoli Riccardo_battuta_totale,0.0
Sbertoli Riccardo_ace,0.0
Sbertoli Riccardo_errori_battuta,0.0
Sbertoli Riccardo_ace_per_set,0.0
Sbertoli Riccardo_battuta_efficienza,0.0
Sbertoli Riccardo_ricezione_totale,0.0
Sbertoli Riccardo_errori_ricezione,0.0
Sbertoli Riccardo_ricezione_negativa,0.0
Sbertoli Riccardo_ricezione_perfetta,0.0
Sbertoli Riccardo_ricezione_perfetta_perc,0.0
Sbertoli Riccardo_ricezione_efficienza,0.0
Sbertoli Riccardo_attacco_totale,0.0
Sbertoli Riccardo_errori_attacco,0.0
Sbertoli Riccardo_attacco_murati,0.0
Sbertoli Riccardo_attacco_perfetti,0.0
Sbertoli Riccardo_attacco_perfetti_perc,0.0
Sbertoli Riccardo_attacco_efficienza,0.0
Sbertoli Riccardo_muro_perfetti,0.0
Rychlicki Kamil_muro_per_set,0.0
Rychlicki Kamil_attacco_efficienza,0.0
Resende Gualberto Flavio_attacco_perfetti_perc,0.0
Rychlicki Kamil_attacco_perfetti_perc,0.0
Resende Gualberto Flavio_attacco_efficienza,0.0
Resende Gualberto Flavio_muro_perfetti,0.0
Resende Gualberto Flavio_muro_per_set,0.0
Rychlicki Kamil_set_giocati,0.0
Rychlicki Kamil_punti_totali,0.0
Rychlicki Kamil_punti_bp,0.0
Rychlicki Kamil_battuta_totale,0.0
Rychlicki Kamil_ace,0.0
Rychlicki Kamil_errori_battuta,0.0
Rychlicki Kamil_ace_per_set,0.0
Rychlicki Kamil_battuta_efficienza,0.0
Rychlicki Kamil_ricezione_totale,0.0
Rychlicki Kamil_errori_ricezione,0.0
Rychlicki Kamil_ricezione_negativa,0.0
Rychlicki Kamil_ricezione_perfetta,0.0
Rychlicki Kamil_ricezione_perfetta_perc,0.0
Rychlicki Kamil_ricezione_efficienza,0.0
Rychlicki Kamil_attacco_totale,0.0
Rychlicki Kamil_errori_attacco,0.0
Rychlicki Kamil_attacco_murati,0.0
Rychlicki Kamil_attacco_perfetti,0.0
Lavia Daniele_ricezione_perfetta_perc,0.0
Lavia Daniele_ricezione_perfetta,0.0
Lavia Daniele_ricezione_negativa,0.0
Garcia Fernandez Gabi_battuta_totale,0.0
Garcia Fernandez Gabi_errori_battuta,0.0
Garcia Fernandez Gabi_ace_per_set,0.0
Garcia Fernandez Gabi_battuta_efficienza,0.0
Garcia Fernandez Gabi_ricezione_totale,0.0
Garcia Fernandez Gabi_errori_ricezione,0.0
Garcia Fernandez Gabi_ricezione_negativa,0.0
Garcia Fernandez Gabi_ricezione_perfetta,0.0
Garcia Fernandez Gabi_ricezione_perfetta_perc,0.0
Garcia Fernandez Gabi_ricezione_efficienza,0.0
Garcia Fernandez Gabi_attacco_totale,0.0
Garcia Fernandez Gabi_errori_attacco,0.0
Garcia Fernandez Gabi_attacco_murati,0.0
Garcia Fernandez Gabi_attacco_perfetti,0.0
Garcia Fernandez Gabi_attacco_perfetti_perc,0.0
Garcia Fernandez Gabi_attacco_efficienza,0.0
Garcia Fernandez Gabi_muro_perfetti,0.0
Garcia Fernandez Gabi_muro_per_set,0.0
Kozamernik Jan_set_giocati,0.0
Kozamernik Jan_punti_totali,0.0
Kozamernik Jan_punti_bp,0.0
Kozamernik Jan_battuta_totale,0.0
Garcia Fernandez Gabi_ace,0.0
Garcia Fernandez Gabi_punti_bp,0.0
Lavia Daniele_errori_ricezione,0.0
Garcia Fernandez Gabi_punti_totali,0.0
Acquarone Alessandro_punti_bp,0.0
Acquarone Alessandro_battuta_totale,0.0
Acquarone Alessandro_ace,0.0
Acquarone Alessandro_errori_battuta,0.0
Acquarone Alessandro_ace_per_set,0.0
Acquarone Alessandro_battuta_efficienza,0.0
Acquarone Alessandro_ricezione_totale,0.0
Acquarone Alessandro_errori_ricezione,0.0
Acquarone Alessandro_ricezione_negativa,0.0
Acquarone Alessandro_ricezione_perfetta,0.0
Acquarone Alessandro_ricezione_perfetta_perc,0.0
Acquarone Alessandro_ricezione_efficienza,0.0
Acquarone Alessandro_attacco_totale,0.0
Acquarone Alessandro_errori_attacco,0.0
Acquarone Alessandro_attacco_murati,0.0
Acquarone Alessandro_attacco_perfetti,0.0
Acquarone Alessandro_attacco_perfetti_perc,0.0
Acquarone Alessandro_attacco_efficienza,0.0
Acquarone Alessandro_muro_perfetti,0.0
Acquarone Alessandro_muro_per_set,0.0
Garcia Fernandez Gabi_set_giocati,0.0
Kozamernik Jan_ace,0.0
Kozamernik Jan_errori_battuta,0.0
Kozamernik Jan_ace_per_set,0.0
Kozamernik Jan_battuta_efficienza,0.0
Laurenzano Gabriele_ricezione_negativa,0.0
Laurenzano Gabriele_ricezione_perfetta,0.0
Laurenzano Gabriele_ricezione_perfetta_perc,0.0
Laurenzano Gabriele_ricezione_efficienza,0.0
Laurenzano Gabriele_attacco_totale,0.0
Laurenzano Gabriele_errori_attacco,0.0
Laurenzano Gabriele_attacco_murati,0.0
Laurenzano Gabriele_attacco_perfetti,0.0
Laurenzano Gabriele_attacco_perfetti_perc,0.0
Laurenzano Gabriele_attacco_efficienza,0.0
Laurenzano Gabriele_muro_perfetti,0.0
Laurenzano Gabriele_muro_per_set,0.0
Lavia Daniele_set_giocati,0.0
Lavia Daniele_punti_totali,0.0
Lavia Daniele_punti_bp,0.0
Lavia Daniele_battuta_totale,0.0
Lavia Daniele_ace,0.0
Lavia Daniele_errori_battuta,0.0
Lavia Daniele_ace_per_set,0.0
Lavia Daniele_battuta_efficienza,0.0
Lavia Daniele_ricezione_totale,0.0
Laurenzano Gabriele_errori_ricezione,0.0
Laurenzano Gabriele_ricezione_totale,0.0
Laurenzano Gabriele_battuta_efficienza,0.0
Kozamernik Jan_attacco_perfetti,0.0
Kozamernik Jan_ricezione_totale,0.0
Kozamernik Jan_errori_ricezione,0.0
Kozamernik Jan_ricezione_negativa,0.0
Kozamernik Jan_ricezione_perfetta,0.0
Kozamernik Jan_ricezione_perfetta_perc,0.0
Kozamernik Jan_ricezione_efficienza,0.0
Kozamernik Jan_attacco_totale,0.0
Kozamernik Jan_errori_attacco,0.0
Kozamernik Jan_attacco_murati,0.0
Kozamernik Jan_attacco_perfetti_perc,0.0
Laurenzano Gabriele_ace_per_set,0.0
Kozamernik Jan_attacco_efficienza,0.0
Kozamernik Jan_muro_perfetti,0.0
Kozamernik Jan_muro_per_set,0.0
Laurenzano Gabriele_set_giocati,0.0
Laurenzano Gabriele_punti_totali,0.0
Laurenzano Gabriele_punti_bp,0.0
Laurenzano Gabriele_battuta_totale,0.0
Laurenzano Gabriele_ace,0.0
Laurenzano Gabriele_errori_battuta,0.0
Sbertoli Riccardo_muro_per_set,0.0
